hmm_profile	orf_id	score	i_evalue	env_from	env_to
FAM004847	Contig385_ORF_2494_11404-	99.12	3.4117931768205294e-29	1790	2160
FAM004847	Contig172_ORF_132_1131-	96.23	2.535974719836313e-28	32	262
FAM004847	Contig401_ORF_4916_5972+	55.22	5.97853066355725e-16	5	138
FAM004847	Contig511_ORF_186_2946-	67.9	8.973977072585226e-20	693	902
FAM004847	Contig318_ORF_745_2890-	69.94	2.173224015796656e-20	533	700
FAM004003	Contig148_ORF_931_2119-	61.08	2.3650782105425418e-17	115	293
FAM004003	Contig172_ORF_132_1131-	59.91	5.386336418705477e-17	85	261
FAM019755	Contig400_ORF_1273_4156+	70.22	3.712731517508687e-20	689	950
FAM019755	Contig401_ORF_1286_4169+	70.22	3.712731517508687e-20	689	950
FAM019755	Contig148_ORF_931_2119-	61.09	2.1754171327985076e-17	24	303
FAM024612	Contig252_ORF_84_5007+	71.41	5.350306421749695e-21	717	989
FAM000678	Contig193_ORF_38_1097+	131.2	1.2667733450262595e-38	2	306
FAM000687	Contig252_ORF_84_5007+	87.12	7.949752702753984e-26	1096	1625
FAM000567	Contig282_ORF_2063_3347+	242.63	1.112077159946503e-72	26	383
FAM003298	Contig125_ORF_3532_4957-	88.11	4.203323852030288e-26	32	466
FAM025319	Contig125_ORF_3532_4957-	127.99	3.3428985373334115e-38	14	463
FAM025319	Contig125_ORF_3034_3526-	53.56	9.085579769367489e-16	3	133
FAM012964	Contig193_ORF_38_1097+	130.85	8.443349077783402e-39	9	349
FAM022852	Contig252_ORF_84_5007+	73.56	1.456911357689411e-21	650	982
FAM022852	Contig252_ORF_84_5007+	73.39	1.6481875962822831e-21	1310	1595
FAM005190	Contig252_ORF_84_5007+	73.01	1.6766593826304017e-21	653	979
FAM022361	Contig125_ORF_3532_4957-	76.64	1.1769922910908195e-22	205	470
FAM004162	Contig156_ORF_226_5242+	82.14	7.115736808954064e-24	1	238
FAM004162	Contig156_ORF_226_5242+	59.79	4.2326486756746465e-17	418	579
FAM004048	Contig385_ORF_2494_11404-	62.54	7.98161580465711e-18	1949	2167
FAM004048	Contig148_ORF_931_2119-	57.24	3.295880727283882e-16	94	267
FAM015297	Contig337_ORF_493_2113+	67.14	1.9732115514129192e-19	75	505
FAM014652	Contig252_ORF_84_5007+	411.13	1.8118817122815346e-123	1105	1641
FAM021947	Contig482_ORF_1017_2253+	65.0	1.388566484811027e-18	38	142
FAM006701	Contig125_ORF_3532_4957-	137.23	5.500089580425295e-41	35	464
FAM006701	Contig125_ORF_3034_3526-	73.91	6.623395460088873e-22	2	139
FAM008994	Contig125_ORF_3532_4957-	147.57	9.95874406142981e-44	238	473
FAM014959	Contig125_ORF_3532_4957-	61.74	4.124845746686149e-18	224	463
FAM023050	Contig125_ORF_3532_4957-	246.27	1.3953892050203775e-73	25	463
FAM023050	Contig125_ORF_3034_3526-	77.3	1.3227980393203144e-22	1	139
FAM030470	Contig482_ORF_1017_2253+	88.53	1.2765072906826062e-25	36	170
FAM023541	Contig125_ORF_3532_4957-	106.25	3.226523018733414e-31	122	468
FAM023541	Contig125_ORF_3034_3526-	56.91	2.903283085271214e-16	2	140
FAM026083	Contig125_ORF_3532_4957-	96.87	1.0387282976149592e-28	15	470
FAM005257	Contig125_ORF_3532_4957-	105.46	2.6049259357843232e-31	227	472
FAM005546	Contig252_ORF_84_5007+	407.23	2.481845929260483e-122	662	1632
FAM022898	Contig337_ORF_493_2113+	84.72	1.1581202732161498e-24	149	515
FAM004871	Contig125_ORF_3532_4957-	80.05	7.867696694769161e-24	127	465
FAM024528	Contig252_ORF_84_5007+	386.94	3.317901461144996e-116	512	1632
FAM025470	Contig125_ORF_3532_4957-	172.68	2.4556163736648834e-51	118	470
FAM001019	Contig252_ORF_84_5007+	95.66	2.23053102835813e-28	664	1000
FAM001019	Contig252_ORF_84_5007+	220.34	5.864306520830699e-66	1204	1629
FAM012874	Contig125_ORF_3532_4957-	119.44	1.2786884495923085e-35	12	467
FAM023693	Contig125_ORF_3532_4957-	55.19	3.269479271722237e-16	185	465
FAM021988	Contig156_ORF_226_5242+	72.97	3.841340041021892e-21	21	372
FAM013971	Contig125_ORF_3034_3526-	108.86	4.789690820668318e-32	1	136
FAM001008	Contig341_ORF_3193_5212-	206.26	1.765178100553441e-61	19	652
FAM001008	Contig341_ORF_28_724-	65.11	9.31348199029194e-19	19	222
FAM008746	Contig252_ORF_84_5007+	103.32	2.2194418514919088e-30	601	976
FAM022902	Contig252_ORF_84_5007+	173.13	9.514387484845424e-52	608	1024
FAM022902	Contig252_ORF_84_5007+	360.85	2.4586326528036242e-108	1092	1632
FAM027783	Contig125_ORF_3034_3526-	52.4	1.0880117727759604e-14	13	144
FAM015075	Contig341_ORF_3193_5212-	291.3	2.8801416137067474e-87	14	673
FAM015075	Contig341_ORF_28_724-	71.54	9.026399621000516e-21	14	225
FAM015206	Contig252_ORF_84_5007+	114.28	5.104447144781202e-34	608	981
FAM015206	Contig252_ORF_84_5007+	278.18	1.997308900042392e-83	1092	1641
FAM004841	Contig418_ORF_900_2493+	50.36	3.1424795297714245e-14	276	513
FAM014508	Contig125_ORF_3532_4957-	272.95	1.0572074119914497e-81	13	468
FAM014508	Contig125_ORF_3034_3526-	93.42	1.5277333992606412e-27	1	147
FAM015531	Contig125_ORF_3532_4957-	77.41	6.19701518173682e-23	26	462
FAM015531	Contig125_ORF_3034_3526-	60.1	1.024325697503036e-17	1	147
FAM004494	Contig393_ORF_353_2318-	54.62	2.0048022803447324e-15	330	646
FAM003098	Contig125_ORF_3532_4957-	120.92	6.968013670233237e-36	195	469
FAM003098	Contig125_ORF_3034_3526-	71.41	6.006309977648788e-21	2	148
FAM007247	Contig125_ORF_3532_4957-	71.16	4.340023827616226e-21	186	474
FAM004375	Contig482_ORF_1017_2253+	69.71	5.575127567172708e-20	37	135
FAM002769	Contig193_ORF_38_1097+	124.35	8.295617092318252e-37	3	303
FAM023531	Contig125_ORF_3532_4957-	61.19	1.7284169477079842e-17	215	466
FAM005002	Contig252_ORF_84_5007+	66.18	2.4402716871742073e-19	633	1041
FAM005002	Contig252_ORF_84_5007+	156.97	1.0026833745591196e-46	1166	1628
FAM007709	Contig541_ORF_6_1188+	50.06	4.702741023770298e-14	145	377
FAM016191	Contig385_ORF_2494_11404-	72.4	8.773895257921251e-21	1905	2119
FAM016191	Contig148_ORF_931_2119-	59.26	8.918987195829106e-17	84	250
FAM016191	Contig172_ORF_132_1131-	53.77	4.207673602656795e-15	24	209
FAM028086	Contig252_ORF_84_5007+	189.57	1.5884358599122096e-56	597	975
FAM005174	Contig274_ORF_935_8690-	70.41	1.780548701847561e-20	1739	2166
FAM023265	Contig252_ORF_84_5007+	145.49	3.1602571523872807e-43	497	975
FAM023265	Contig252_ORF_84_5007+	299.0	1.583816251990995e-89	1137	1640
FAM001024	Contig337_ORF_493_2113+	143.46	1.664876996357144e-42	199	507
FAM026874	Contig125_ORF_3532_4957-	55.69	2.4461844564073117e-16	210	473
FAM023592	Contig341_ORF_1460_3137-	51.78	1.4142566041998857e-14	141	494
FAM027915	Contig125_ORF_3532_4957-	61.76	3.0592798163436164e-18	189	472
FAM004856	Contig484_ORF_535_2236-	101.76	8.15522103864639e-30	3	310
FAM001206	Contig337_ORF_493_2113+	86.4	3.4435544605641595e-25	138	499
FAM020630	Contig253_ORF_159_18090+	109.91	3.213070936963965e-32	4956	5257
FAM020630	Contig253_ORF_159_18090+	80.5	2.7903414180435893e-23	5677	5972
FAM020630	Contig148_ORF_931_2119-	175.52	3.6634397989377944e-52	23	331
FAM020630	Contig400_ORF_1273_4156+	156.54	2.158906143110647e-46	686	960
FAM020630	Contig401_ORF_1286_4169+	156.54	2.158906143110647e-46	686	960
FAM020630	Contig172_ORF_132_1131-	155.11	5.861505993256296e-46	27	331
FAM020630	Contig385_ORF_2494_11404-	151.74	6.186857691678055e-45	1905	2231
FAM020630	Contig401_ORF_4916_5972+	127.12	1.880151731405652e-37	2	311
FAM020630	Contig511_ORF_186_2946-	91.2	1.561852771845121e-26	648	912
FAM020630	Contig445_ORF_78_2226+	63.02	5.72310139773506e-18	531	656
FAM020630	Contig317_ORF_168_3645-	95.09	1.0273277257704446e-27	910	1150
FAM020630	Contig318_ORF_745_2890-	63.2	5.065736893293149e-18	543	706
FAM023063	Contig125_ORF_3532_4957-	164.29	5.763597984233511e-49	2	470
FAM023063	Contig125_ORF_3034_3526-	69.43	2.354985724543116e-20	1	141
FAM004435	Contig254_ORF_3059_3551+	52.58	1.3340390025723295e-14	78	160
FAM009877	Contig252_ORF_84_5007+	141.44	9.949970959214458e-42	619	986
FAM025900	Contig252_ORF_84_5007+	89.75	1.616724255741221e-26	627	974
FAM001788	Contig482_ORF_1017_2253+	210.45	9.699903958347222e-63	34	409
FAM004751	Contig302_ORF_515_1772+	102.17	6.768358116440538e-30	188	417
FAM004751	Contig302_ORF_2031_2796+	95.01	1.0160203940332263e-27	30	194
FAM001049	Contig224_ORF_136_1771-	120.72	1.2279507808892026e-35	1	544
FAM026863	Contig125_ORF_3532_4957-	55.6	4.007160945921379e-16	276	458
FAM023076	Contig125_ORF_3532_4957-	52.18	2.358451027515312e-15	200	462
FAM000668	Contig236_ORF_212_2195+	199.87	1.5587004565925271e-59	11	616
FAM000668	Contig53_ORF_93_2130+	191.05	7.278274246587633e-57	53	650
FAM000668	Contig237_ORF_766_2218+	128.47	6.582093395553656e-38	2	439
FAM000660	Contig125_ORF_3532_4957-	115.33	2.975484871164107e-34	129	474
FAM000660	Contig125_ORF_3034_3526-	51.87	4.038058484482079e-15	1	149
FAM010177	Contig125_ORF_3532_4957-	51.63	4.106732163365987e-15	228	414
FAM027621	Contig252_ORF_84_5007+	215.09	3.343686400628355e-64	1134	1638
FAM001050	Contig125_ORF_3532_4957-	145.43	2.9819384625808087e-43	163	470
FAM015518	Contig125_ORF_3532_4957-	57.15	1.1378493516891592e-16	231	465
FAM021683	Contig341_ORF_1460_3137-	76.84	2.6828338286566763e-22	255	473
FAM004801	Contig356_ORF_370_2404-	55.18	1.0741021661762788e-15	348	467
FAM021017	Contig341_ORF_3193_5212-	215.23	3.0090742242391287e-64	15	665
FAM021017	Contig341_ORF_28_724-	56.71	2.8091314249415197e-16	14	213
FAM026302	Contig125_ORF_3532_4957-	53.34	1.4030528753571133e-15	141	471
FAM023538	Contig125_ORF_3532_4957-	72.91	4.4045769271767554e-21	84	469
FAM004350	Contig148_ORF_931_2119-	58.9	7.789635316487863e-17	18	234
FAM031068	Contig302_ORF_2031_2796+	57.21	2.6796706370287254e-16	32	193
FAM000210	Contig193_ORF_38_1097+	128.27	5.066037177170107e-38	7	338
FAM016098	Contig156_ORF_226_5242+	239.58	1.5157513103905317e-71	1	601
FAM000670	Contig125_ORF_3532_4957-	51.55	4.1946224474655965e-15	280	463
FAM026974	Contig252_ORF_84_5007+	81.04	5.339821214237506e-24	671	993
FAM026974	Contig252_ORF_84_5007+	113.97	6.408709977747926e-34	1206	1637
FAM014853	Contig252_ORF_84_5007+	83.06	4.971990605119609e-24	1449	1587
FAM023040	Contig125_ORF_3532_4957-	74.06	9.314182502431385e-22	250	468
FAM023040	Contig125_ORF_3034_3526-	51.81	4.785339793992307e-15	2	136
FAM003886	Contig148_ORF_931_2119-	55.12	1.2366810775651144e-15	69	250
FAM021914	Contig502_ORF_199_1384+	69.02	9.156394860356735e-20	83	374
FAM023072	Contig125_ORF_3532_4957-	73.94	1.5256832166353523e-21	209	468
FAM023072	Contig125_ORF_3034_3526-	68.23	8.110526560452107e-20	1	143
FAM015250	Contig252_ORF_84_5007+	78.26	3.067516168890205e-23	676	1012
FAM015250	Contig252_ORF_84_5007+	117.42	4.856175290387129e-35	1208	1634
FAM021018	Contig341_ORF_1460_3137-	82.86	6.0220663874455426e-24	258	484
FAM026959	Contig125_ORF_3532_4957-	167.73	3.92055735331167e-50	10	465
FAM011733	Contig125_ORF_3532_4957-	111.77	2.106390123171813e-33	29	463
FAM011733	Contig125_ORF_3034_3526-	61.59	2.7998590728508925e-18	1	146
FAM003313	Contig125_ORF_3532_4957-	119.55	1.648254196044167e-35	211	465
FAM018237	Contig418_ORF_900_2493+	135.7	4.979994297727955e-40	130	525
FAM001584	Contig337_ORF_493_2113+	112.1	4.9804037403722004e-33	101	500
FAM014668	Contig125_ORF_3532_4957-	108.56	2.717323215029136e-32	19	468
FAM005196	Contig165_ORF_366_2118-	113.53	2.340883033356975e-33	38	397
FAM005569	Contig252_ORF_84_5007+	70.61	1.1190340184819605e-20	637	977
FAM005569	Contig252_ORF_84_5007+	164.87	4.113629757659619e-49	1147	1635
FAM001866	Contig156_ORF_226_5242+	394.13	2.5743019837682753e-118	1	599
FAM018342	Contig502_ORF_2558_2930+	173.38	1.584072381764221e-51	4	123
FAM030732	Contig79_ORF_268_829-	224.75	8.739985368113892e-68	1	110
FAM030732	Contig79_ORF_268_829-	318.49	1.1992160151077375e-96	35	186
FAM030732	Contig78_ORF_71_530-	319.51	5.815576897329933e-97	1	152
FAM030732	Contig80_ORF_35_596-	158.91	1.6443550099975258e-47	32	122
FAM000811	Contig125_ORF_3532_4957-	74.82	4.274128852896808e-22	122	467
FAM003971	Contig253_ORF_159_18090+	55.84	3.313462855840795e-16	5619	5929
FAM003971	Contig317_ORF_168_3645-	92.57	2.7406092184682103e-27	880	1159
FAM003971	Contig301_ORF_1259_3131+	90.05	1.581216291763653e-26	311	620
FAM003971	Contig148_ORF_931_2119-	69.01	3.531806974155588e-20	78	299
FAM003971	Contig400_ORF_1273_4156+	67.28	1.1704074124255802e-19	685	901
FAM003971	Contig401_ORF_1286_4169+	67.28	1.1704074124255802e-19	685	901
FAM003971	Contig172_ORF_132_1131-	59.76	2.1744116274152734e-17	5	265
FAM003971	Contig318_ORF_745_2890-	58.01	7.368766394829993e-17	534	708
FAM003971	Contig385_ORF_2494_11404-	56.03	2.915886693335007e-16	1877	2178
FAM013415	Contig492_ORF_695_2849+	118.52	7.101625680355685e-35	26	560
FAM013415	Contig491_ORF_663_2838+	109.66	3.416279935246305e-32	28	566
FAM009290	Contig252_ORF_84_5007+	77.44	2.2142200301590994e-22	669	972
FAM003499	Contig493_ORF_144_1113-	144.95	5.5531511104978575e-43	50	221
FAM017590	Contig110_ORF_73_1003+	110.89	1.3362838482065614e-32	3	175
FAM017590	Contig110_ORF_73_1003+	64.65	1.4512248195091495e-18	158	267
FAM017590	Contig336_ORF_241_1966+	64.85	1.2548501393397688e-18	39	174
FAM003353	Contig252_ORF_84_5007+	51.65	3.369072998551996e-15	678	970
FAM003435	Contig234_ORF_191_1964+	53.55	3.509453438796596e-15	371	491
FAM003435	Contig370_ORF_16_421-	53.99	2.574524039500427e-15	12	134
FAM015170	Contig125_ORF_3532_4957-	116.33	1.057728693887891e-34	34	462
FAM002432	Contig252_ORF_84_5007+	119.38	2.4026783006279597e-35	629	978
FAM026081	Contig125_ORF_3532_4957-	117.04	7.721893852594907e-35	208	465
FAM001082	Contig236_ORF_212_2195+	179.25	2.4508260344837497e-53	13	582
FAM001082	Contig53_ORF_93_2130+	171.09	7.301739502401572e-51	55	612
FAM001082	Contig237_ORF_766_2218+	110.99	1.1902801069501754e-32	4	403
FAM001580	Contig252_ORF_84_5007+	541.85	7.091134465461668e-163	630	1628
FAM015746	Contig341_ORF_3193_5212-	74.09	1.8554617160997885e-21	24	517
FAM032173	Contig148_ORF_931_2119-	84.69	1.2907860943676023e-24	66	321
FAM032173	Contig172_ORF_132_1131-	63.19	4.445493875228856e-18	27	279
FAM032173	Contig400_ORF_1273_4156+	52.37	8.630707355164785e-15	707	955
FAM032173	Contig401_ORF_1286_4169+	52.37	8.630707355164785e-15	707	955
FAM010021	Contig125_ORF_3532_4957-	126.46	9.175789738598478e-38	24	463
FAM010021	Contig125_ORF_3034_3526-	62.5	1.7391505894558535e-18	1	148
FAM014750	Contig125_ORF_3532_4957-	82.21	2.3755194691462505e-24	260	473
FAM007655	Contig233_ORF_128_476+	149.15	9.563438248542475e-45	1	116
FAM023151	Contig252_ORF_84_5007+	91.78	2.734566455937379e-27	666	976
FAM024902	Contig125_ORF_3532_4957-	94.27	4.987177690137931e-28	29	470
FAM000651	Contig252_ORF_84_5007+	319.22	1.4544931581501591e-95	962	1631
FAM023275	Contig252_ORF_84_5007+	98.08	4.249580004476262e-29	599	973
FAM023275	Contig252_ORF_84_5007+	226.62	7.500172143184038e-68	1155	1638
FAM027782	Contig125_ORF_3532_4957-	93.93	1.3535554257237577e-27	193	470
FAM012396	Contig148_ORF_931_2119-	52.29	1.105021204950045e-14	31	299
FAM012396	Contig385_ORF_2494_11404-	53.0	6.735328635923213e-15	1902	2172
FAM012396	Contig400_ORF_1273_4156+	50.83	3.074928955445443e-14	685	958
FAM012396	Contig401_ORF_1286_4169+	50.83	3.074928955445443e-14	685	958
FAM012396	Contig172_ORF_132_1131-	50.8	3.1576772884536635e-14	47	268
FAM025208	Contig337_ORF_493_2113+	68.48	9.976320785669991e-20	87	496
FAM019562	Contig317_ORF_168_3645-	105.22	3.968483922806534e-31	864	1159
FAM019562	Contig301_ORF_1259_3131+	90.65	9.906961953043613e-27	310	620
FAM019562	Contig148_ORF_931_2119-	79.79	1.873657468148637e-23	25	269
FAM019562	Contig400_ORF_1273_4156+	79.91	1.7151516822906852e-23	687	914
FAM019562	Contig401_ORF_1286_4169+	79.91	1.7151516822906852e-23	687	914
FAM019562	Contig401_ORF_4916_5972+	52.39	3.4723888218406383e-15	5	140
FAM019562	Contig172_ORF_132_1131-	68.26	5.639364047703856e-20	30	259
FAM019562	Contig318_ORF_745_2890-	64.77	6.391600715706982e-19	496	702
FAM019562	Contig385_ORF_2494_11404-	63.74	1.3042262653989765e-18	1908	2132
FAM004189	Contig341_ORF_1460_3137-	54.15	2.0806352280559492e-15	262	469
FAM005157	Contig125_ORF_3532_4957-	105.47	2.374517076491328e-31	24	473
FAM025334	Contig125_ORF_3532_4957-	53.0	8.502294209244212e-15	237	349
FAM002059	Contig125_ORF_3532_4957-	66.25	1.876926997603204e-19	254	472
FAM018381	Contig266_ORF_2319_2778+	64.02	2.6543033300597524e-18	7	148
FAM029511	Contig252_ORF_84_5007+	68.13	1.4007457762962955e-19	1526	1597
FAM004895	Contig125_ORF_3532_4957-	170.6	6.039079455383799e-51	19	466
FAM004895	Contig125_ORF_3034_3526-	84.26	6.355487897043566e-25	1	145
FAM003431	Contig302_ORF_515_1772+	73.03	5.585194008228685e-21	208	418
FAM003431	Contig302_ORF_2031_2796+	72.96	5.831158955862014e-21	32	194
FAM017399	Contig282_ORF_2063_3347+	106.66	2.876467279457546e-31	126	403
FAM017399	Contig385_ORF_2494_11404-	71.41	1.5647615559090055e-20	1900	2124
FAM017399	Contig400_ORF_1273_4156+	59.41	7.042853656621673e-17	681	849
FAM017399	Contig401_ORF_1286_4169+	59.41	7.042853656621673e-17	681	849
FAM004188	Contig341_ORF_3193_5212-	261.83	2.0822786640231795e-78	18	669
FAM004188	Contig341_ORF_28_724-	72.35	4.616063967148688e-21	18	217
FAM014664	Contig341_ORF_1460_3137-	59.59	5.055555760467082e-17	263	481
FAM017960	Contig79_ORF_268_829-	65.88	8.118070392054893e-19	33	110
FAM017960	Contig79_ORF_268_829-	66.02	7.3823441743678e-19	108	186
FAM017960	Contig78_ORF_71_530-	66.12	6.881463390106506e-19	1	76
FAM017960	Contig78_ORF_71_530-	66.42	5.557454966217253e-19	76	152
FAM017960	Contig80_ORF_35_596-	67.73	2.209388825599104e-19	21	107
FAM004586	Contig148_ORF_931_2119-	107.05	2.399184105312332e-31	24	311
FAM004586	Contig400_ORF_1273_4156+	108.08	1.1704017856739967e-31	687	960
FAM004586	Contig401_ORF_1286_4169+	108.08	1.1704017856739967e-31	687	960
FAM004586	Contig253_ORF_159_18090+	60.32	3.662175749828949e-17	4950	5241
FAM004586	Contig172_ORF_132_1131-	96.03	5.3000145802966745e-28	35	332
FAM004586	Contig401_ORF_4916_5972+	92.06	8.477585746322657e-27	1	332
FAM004586	Contig385_ORF_2494_11404-	78.64	1.0060037755470259e-22	1906	2189
FAM004586	Contig511_ORF_186_2946-	56.86	4.1062105555563523e-16	644	907
FAM004586	Contig317_ORF_168_3645-	59.27	7.60458049800788e-17	913	1154
FAM000731	Contig337_ORF_493_2113+	438.59	5.175489697995768e-132	67	538
FAM023066	Contig125_ORF_3532_4957-	277.1	4.631629203901478e-83	22	473
FAM023066	Contig125_ORF_3034_3526-	70.62	8.794052905942685e-21	1	162
FAM026090	Contig193_ORF_38_1097+	175.67	2.389505351099341e-52	3	317
FAM023414	Contig125_ORF_3532_4957-	220.97	3.514086687334568e-66	19	474
FAM023414	Contig125_ORF_3034_3526-	83.88	7.827138740435899e-25	1	137
FAM001267	Contig252_ORF_84_5007+	401.96	1.0036813126471805e-120	482	1639
FAM018953	Contig156_ORF_226_5242+	98.74	6.667335327411837e-29	1	232
FAM018953	Contig156_ORF_226_5242+	51.45	1.3882676367125832e-14	435	593
FAM009986	Contig252_ORF_84_5007+	79.19	1.98288682242521e-23	652	958
FAM014016	Contig125_ORF_3532_4957-	125.63	1.598168728014873e-37	25	468
FAM014016	Contig125_ORF_3034_3526-	52.36	1.939379977789816e-15	1	143
FAM004520	Contig482_ORF_1017_2253+	54.23	2.757905842154713e-15	35	165
FAM001376	Contig148_ORF_931_2119-	97.43	1.9866765786233272e-28	71	248
FAM001376	Contig400_ORF_1273_4156+	96.98	2.7231818561084694e-28	563	902
FAM001376	Contig401_ORF_1286_4169+	96.98	2.7231818561084694e-28	563	902
FAM001376	Contig253_ORF_159_18090+	56.13	6.96846843792546e-16	5569	5888
FAM001376	Contig385_ORF_2494_11404-	66.23	5.960648176178606e-19	1799	2124
FAM001376	Contig172_ORF_132_1131-	61.65	1.4736123624605245e-17	6	218
FAM001376	Contig317_ORF_168_3645-	56.5	5.398281049255e-16	725	1120
FAM013101	Contig193_ORF_38_1097+	147.64	8.155386864402656e-44	11	314
FAM000587	Contig125_ORF_3532_4957-	93.98	7.465272723114573e-28	19	462
FAM023034	Contig125_ORF_3532_4957-	77.3	8.306899617903318e-23	28	473
FAM023034	Contig125_ORF_3034_3526-	52.03	3.4388306328823216e-15	2	150
FAM014650	Contig125_ORF_3532_4957-	102.48	1.63600424737734e-30	29	463
FAM014650	Contig125_ORF_3034_3526-	57.93	4.3665192184964015e-17	1	136
FAM023069	Contig125_ORF_3532_4957-	136.87	7.901610500603102e-41	23	475
FAM018942	Contig148_ORF_931_2119-	79.83	4.568236337078081e-23	73	327
FAM018942	Contig172_ORF_132_1131-	72.66	6.809034435187335e-21	36	205
FAM018942	Contig400_ORF_1273_4156+	75.66	8.419029972372549e-22	696	940
FAM018942	Contig401_ORF_1286_4169+	75.66	8.419029972372549e-22	696	940
FAM018942	Contig385_ORF_2494_11404-	59.89	5.069147031652045e-17	1912	2190
FAM018942	Contig317_ORF_168_3645-	50.41	3.782115765184935e-14	916	1119
FAM009662	Contig356_ORF_370_2404-	56.58	3.921335271759961e-16	347	468
FAM015848	Contig165_ORF_366_2118-	95.65	7.390572867482574e-28	51	375
FAM023046	Contig125_ORF_3532_4957-	83.83	7.512905063795325e-25	4	463
FAM003450	Contig113_ORF_730_1321+	89.83	2.8962374465116767e-26	2	197
FAM003450	Contig113_ORF_178_694+	86.48	2.9694586516748864e-25	5	140
FAM003450	Contig113_ORF_1531_1894+	50.81	1.821202852309076e-14	10	113
FAM003462	Contig492_ORF_695_2849+	108.47	6.161595683283045e-32	36	560
FAM003462	Contig491_ORF_663_2838+	101.48	8.062200171298065e-30	36	567
FAM009070	Contig252_ORF_84_5007+	77.81	7.090943316322693e-23	676	958
FAM022961	Contig125_ORF_3532_4957-	165.24	2.5263792287043233e-49	19	408
FAM022961	Contig125_ORF_3034_3526-	61.72	4.223970267272808e-18	1	138
FAM024443	Contig274_ORF_935_8690-	214.58	1.7538016001323854e-64	2000	2193
FAM005261	Contig125_ORF_3532_4957-	82.72	1.9583209677541673e-24	170	474
FAM023079	Contig125_ORF_3532_4957-	93.45	1.100234938650961e-27	37	468
FAM023043	Contig125_ORF_3532_4957-	140.74	4.776316987175778e-42	34	464
FAM008815	Contig274_ORF_935_8690-	142.45	1.067807494185724e-42	187	900
FAM008815	Contig274_ORF_935_8690-	664.03	8.150747316227404e-200	1143	2248
FAM030475	Contig253_ORF_159_18090+	82.52	5.468224144187155e-24	4942	5219
FAM030475	Contig253_ORF_159_18090+	66.58	3.9209449907569037e-19	5662	5940
